OBJECTID,GID,GUID,DT_CREATED,DT_VERIFIE,DT_START,DT_END,IS_COMPLET,IS_CURRENT,SRC_DETAIL,IS_VERIFIE,DT_MODIFIE,NOTES,PWSID,NAME,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,D_PRIN_CNT,D_POPULATI,D_PWS_FED_,D_LAST_INV,D_LAST_UPD,SOURCE_TAB,COUNTY_FIP,STATE,ADDRESS_CI,ADDR_LINE_,ADDR_LINE0,ADDRESS_ZI,SVC_CONNEC,DISTRICT_L,BOUNDARY_TYPE,REG_AGENCY,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,DT_VERIFIED,EDITDATE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Area,Shape__Length,SHAPE
4805,604,61f2864c-00aa-4788-aa37-d0090b7632db,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000388,CARDOZA WATER SYSTEM,A,1992/01/01 08:00:00+00,P,STANISLAUS,15,NP,2017/10/19 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,MANTECA,,PO BOX 1022,95336,10,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.374128434768e-06,0.0048093775963188,
4806,608,86a0df08-06f9-4324-b01e-faf8b15194a7,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000136,LOG CABIN,A,2016/07/21 08:00:00+00,P,STANISLAUS,26,NC,2017/08/23 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,99,CA,TURLOCK,,9501 W MAIN ST,95380,1,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,5.83697954509e-07,0.00314213972841639,
4807,16331,651d72f5-123b-4230-884f-a6789a5f9763,2016/08/24 08:00:00+00,1970/01/01 00:00:00+00,2016/08/24 08:00:00+00,1970/01/01 00:00:00+00,1,1,,0,1970/01/01 00:00:00+00,,CA3600345,WEST END MWC,A,2016/08/08 08:00:00+00,P,SAN BERNARDINO,63,C,2019/06/06 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,71,CA,LUCERNE VALLEY,,P.O. Box 1732,92356,54,17343,,LPA66 - SAN BERNARDINO COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.00012043868050417,0.0551871772129638,
4808,600,b280711f-8be6-450a-81a0-84e681d8e9c9,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000336,DEEVON WATER CO,A,1992/01/01 08:00:00+00,P,STANISLAUS,1,NP,2018/07/11 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,MODESTO,,PO BOX 1816,95353,1,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2.925634305215e-07,0.00236000542422341,
4809,14266,3ba83796-3a2b-4d78-9738-85f8f8cffee0,2012/08/22 08:00:00+00,1970/01/01 00:00:00+00,2012/08/22 08:00:00+00,1970/01/01 00:00:00+00,1,1,"Batch import from Fr_AllPolygons.shp; Source: Carolina Balazs, PhD (2012)",0,2018/01/20 08:00:00+00, ,CA1010044,"HURON, CITY OF",A,1976/01/01 08:00:00+00,L,FRESNO,7306,C,2016/07/01 08:00:00+00,2016/07/01 08:00:00+00,2019/06/20 08:00:00+00,19,CA,HURON,,P.O. Box 339,93234,876,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.000422006912665162,0.126219324458068,
4810,1443,8412262e-a87d-4784-8304-8cc11df0681b,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/19 08:00:00+00, ,CA1000588,PANOCHE RANCH - FRANK LOGOLUSO FARMS,A,2010/04/06 08:00:00+00,P,FRESNO,300,NC,2019/04/02 08:00:00+00,2016/11/15 08:00:00+00,2019/06/20 08:00:00+00,19,CA,MADERA,,7567 Road 28,93637,4,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.000125811278535575,0.0495470625879836,
4811,1444,57f48e9c-6c3d-47db-afb2-dce463a5af5a,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/19 08:00:00+00, ,CA1000548,PG&E AUBERRY SERVICE CENTER,A,2001/11/26 08:00:00+00,P,FRESNO,25,NTNC,2019/03/19 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,19,CA,AUBERRY,,P.O. Box 425,93602,4,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.7615042278465e-06,0.00603038200252258,
4812,15805,ffa0f680-dec8-41b6-8e3a-6b532be709ef,2011/09/06 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded SunsetMouldingChico_400150.kml_Drawn_GE_ICE/MF,0,1970/01/01 00:00:00+00,,CA0400150,SUNSET MOULDING CHICO,A,2016/07/28 08:00:00+00,P,BUTTE,45,NTNC,2019/05/20 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,7,CA,YUBA CITY,,PO BOX 326,95992,2,17316,,LPA34 - BUTTE COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,6.088548635e-06,0.0147031114206554,
4813,678,931b9b69-1fd9-4712-852a-5b4d41110c7d,2018/03/09 08:00:00+00,1970/01/01 00:00:00+00,2018/03/09 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000582,JOE'S FOOD MART WATER SYSTEM,A,2016/07/21 08:00:00+00,P,STANISLAUS,26,NC,2016/08/11 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,99,CA,MODESTO,,4955  CROWS LANDING RD,95358,1,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.62421876882e-07,0.00161230925368966,
4814,14619,cd46b58a-d0b6-4969-92b0-a9c1621c2387,2015/12/31 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,,0,1970/01/01 00:00:00+00,,CA4910307,CSP-AUSTIN CREEK (BULLFROG POND CAMP),A,1976/01/01 08:00:00+00,S,SONOMA,100,NC,2019/04/16 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,97,CA,JENNER,,25050 Coast Highway 1,95450,5,81,,DISTRICT 18 - SONOMA,Verified,J. Oakley,District / LPA staff member,2019/09/02 08:00:00+00,2020/01/03 03:27:20+00,,1970/01/01 00:00:00+00,WBGIS,2020/05/13 21:47:06+00,2.52709900933195e-05,0.0201712746766458,
4815,12550,c7a0d371-542b-45b2-a4ee-3de977c55475,2011/06/27 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,"Uploaded c2000538_CedarValley.kml; drawn in GE, uploaded by ICE/KT",0,1970/01/01 00:00:00+00,,CA2000538,CEDAR VALLEY MUTUAL WATER CO,A,2015/11/06 08:00:00+00,P,MADERA,137,C,2019/03/28 08:00:00+00,2015/11/06 08:00:00+00,2019/06/20 08:00:00+00,39,CA,OAKHURST,,44907 LAKESIDE DRIVE B,93644,67,17334,,LPA50 - MADERA COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,7.3394096285e-05,0.0328864522998777,
4816,15731,e3a2cef9-171d-4db9-a80a-046ce3a93b32,2012/11/13 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,"Uploaded SoledadCityof_2710011.kml; polygon drawn in GE, uploaded by ICE/KT",0,1970/01/01 00:00:00+00,,CA2710011,"SOLEDAD, CITY OF",A,1979/03/22 08:00:00+00,L,MONTEREY,16729,C,2019/06/12 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,53,CA,SOLEDAD,,PO Box 156,93960,3948,68,,DISTRICT 05 - MONTEREY,Pending,W. Allen,District / LPA staff member,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,WBGIS,2020/05/13 21:36:40+00,0.000543278342704247,0.125203761370402,
4817,1447,399a764d-78a7-4dc4-a346-1af70bf2da67,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00,"Resources:SDWIS, Google Maps, http://www.co.monterey.ca.us/home/showdocument?id=63655; TC/KT",CA2701515,MOSS LANDING HARBOR WS,A,2016/08/01 08:00:00+00,P,MONTEREY,402,C,2018/12/07 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,53,CA,ROYAL OAKS,,136 SAN JUAN ROAD,95076,141,17328,,LPA57 - MONTEREY COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,8.058228123692e-06,0.0128926743125858,
4818,1458,330219f5-6dce-4e9a-96b5-05e6a4ea7387,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/19 08:00:00+00, ,CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,A,1976/01/01 08:00:00+00,P,SAN BERNARDINO,62602,C,2019/05/24 08:00:00+00,2015/08/05 08:00:00+00,2019/06/20 08:00:00+00,71,CA,APPLE VALLEY,,P.O. Box 7005,92307,20871,76,,DISTRICT 13 - SAN BERNARDINO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.013050426139085,2.06689778077439,
4819,14347,d1af9176-9f0a-47b5-bbf8-9bae1cbc0696,2016/05/24 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,,0,1970/01/01 00:00:00+00,,CA3901092,SAN JOAQUIN WATER WORKS #2,A,2016/08/08 08:00:00+00,L,SAN JOAQUIN,293,C,2018/12/10 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,77,CA,STOCKTON,,1702  E SCOTTS,95201,98,17332,,LPA69 - SAN JOAQUIN COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2.94117049050605e-05,0.0304319073253306,
4820,14689,1d2191f5-0e7b-49e6-814a-6ca577c0260b,2013/06/06 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created from user-digitized polygon.,0,1970/01/01 00:00:00+00,,CA2210917,YOSEMITE RIDGE RESORT,A,1991/08/05 08:00:00+00,P,MARIPOSA,70,NC,2018/09/21 08:00:00+00,2017/07/25 08:00:00+00,2019/06/20 08:00:00+00,43,CA,GROVELAND,,7589 HIGHWAY 120,95321,10,74,,DISTRICT 11 - MERCED,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.350175456745e-05,0.0185714651103664,
4821,12886,b87112f6-593a-4330-983e-eeead0e6d3f7,2016/05/26 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,,0,1970/01/01 00:00:00+00,,CA2000511,MD 85 VALETA,A,2015/11/06 08:00:00+00,L,MADERA,45,C,2018/06/01 08:00:00+00,2018/04/25 08:00:00+00,2019/06/20 08:00:00+00,39,CA,MADERA,,"200 West 4th Street, 3rd Floor",93637,20,17334,,LPA50 - MADERA COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,6.21202817793e-06,0.0103666573151837,
4822,15214,720710fd-1407-4d0f-b4a7-0452d1029645,2011/09/04 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.,0,1970/01/01 00:00:00+00,,CA2702456,MONTEREY ONE WATER (FORMERLY MRWPCA),A,2016/08/01 08:00:00+00,L,MONTEREY,73,NTNC,2019/01/28 08:00:00+00,2019/01/28 08:00:00+00,2019/06/20 08:00:00+00,53,CA,MONTEREY,,5 HARRIS COURT BLDG D,93940,1,17328,,LPA57 - MONTEREY COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2.79462122076755e-05,0.0305169834178774,
4823,744,25aac0f1-e479-4df7-9893-b5c28c3a12ed,2018/03/22 08:00:00+00,1970/01/01 00:00:00+00,2018/01/11 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/03/22 08:00:00+00,"Boundary drawn roughly based on the location of the lodge by Google Earth; DDW, D- 01/BN",CA4600094,SARDINE LAKE RESORT,A,1984/10/30 08:00:00+00,P,SIERRA,200,NC,2019/06/03 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,91,CA,SIERRA CITY,,P.O. BOX 216,96125,1,65,,DISTRICT 02 - LASSEN,Verified,K. Connaughton,District / LPA staff member,2019/09/02 08:00:00+00,2020/01/03 03:26:14+00,,1970/01/01 00:00:00+00,WBGIS,2020/05/13 21:47:07+00,9.113199553225e-06,0.0122026351705573,
4824,15456,43d0353d-b066-4b8f-86e8-f434583cc734,2011/11/22 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded NPSDeathValleyFurnaceCr_1410505.kml_drawn_GE_ICE/MF,0,1970/01/01 00:00:00+00,,CA1410505,"NPS - DEATH VALLEY, FURNACE CREEK",A,1976/01/01 08:00:00+00,F,INYO,150,C,2018/05/29 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,27,CA,DEATH VALLEY,,PO Box 579,92328,150,76,,DISTRICT 13 - SAN BERNARDINO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.000200443301784999,0.0710929151073367,
4825,14363,3486a173-1134-4b80-97fd-3fe34b3860ab,2016/05/24 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,,0,1970/01/01 00:00:00+00,,CA3900607,COUNTRY SQUIRE MOBILE ESTATES & WATER SY,A,2016/08/08 08:00:00+00,P,SAN JOAQUIN,64,C,2016/08/11 08:00:00+00,2016/08/11 08:00:00+00,2019/06/20 08:00:00+00,77,CA,OAKDALE,,PO BOX 1548,95361,47,17332,,LPA69 - SAN JOAQUIN COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2.341855770645e-06,0.00734802222222239,
4826,1489,0167f43e-0ff0-4a21-b7ba-676b07f1aac8,2018/06/20 08:00:00+00,1970/01/01 00:00:00+00,2018/06/20 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/20 08:00:00+00, ,CA1000632,VULCAN MATERIALS COMPANY - FRIANT,A,2016/01/29 08:00:00+00,P,FRESNO,31,NTNC,2019/06/14 08:00:00+00,2016/07/12 08:00:00+00,2019/06/20 08:00:00+00,19,CA,GLENDALE,,"500 N. Brand Blvd., Suite 500",91203,1,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.34829311042645e-05,0.021226325590248,
4827,1490,e692b241-a8f1-48c2-ae11-47fe16cf05b4,2018/06/20 08:00:00+00,1970/01/01 00:00:00+00,2018/06/20 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00,"Resources: SDWIS, Google Maps; TC/KT",CA5100112,TIERRA BUENA MHP #1,A,1980/06/27 08:00:00+00,P,SUTTER,50,C,2018/05/21 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,101,CA,ZAMORA,,P.O. Box 457,95698,17,84,,DISTRICT 21 - VALLEY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,9.653215629645e-07,0.00429520951167791,
4828,15913,58bef524-2b88-48bf-b402-2f5c6bdb8270,2012/11/13 08:00:00+00,1970/01/01 00:00:00+00,2019/01/04 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created from user-digitized polygon. Corrected boundaries- old boundaries encompassed the entire Easton CSD.,0,2019/02/22 08:00:00+00, ,CA1000018,EASTON ESTATES WATER COMPANY,A,1979/03/22 08:00:00+00,P,FRESNO,302,C,2016/12/28 08:00:00+00,2019/06/06 08:00:00+00,2019/06/20 08:00:00+00,19,CA,FRESNO,,5132 N. PALM AVE. PMB #114,93704,107,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.846056465426e-05,0.0263729240447793,
